sales_id,customer_id,product_id,store_id,quantity,discount,date,total_amount
2001,199,79,11,2,23.13,2025-06-28,280.48
2002,100,18,9,2,19.84,2025-06-28,424.45
2003,114,62,5,4,12.28,2025-06-28,488.85
2004,24,27,10,3,26.86,2025-06-28,227.85
2005,155,35,15,3,4.88,2025-06-28,1378.26
2006,165,45,14,3,29.87,2025-06-28,280.03
2007,91,35,4,4,3.57,2025-06-28,1862.99
2008,167,28,20,1,0.45,2025-06-28,258.38
2009,191,9,2,3,26.7,2025-06-28,665.31
2010,26,76,12,3,7.35,2025-06-28,1016.91
2011,65,15,1,1,21.89,2025-06-28,74.2
2012,120,21,20,4,24.33,2025-06-28,931.86
2013,4,52,5,1,25.77,2025-06-28,288.52
2014,157,35,6,1,29.75,2025-06-28,339.3
2015,1,97,11,1,8.82,2025-06-28,240.49
2016,50,51,8,1,21.31,2025-06-28,381.6
2017,110,83,7,4,3.46,2025-06-28,651.8
2018,139,55,4,4,12.2,2025-06-28,1056.97
2019,74,87,6,1,25.44,2025-06-28,273.01
2020,187,77,16,2,11.03,2025-06-28,688.24
2021,62,44,20,2,17.73,2025-06-28,748.84
2022,81,65,15,2,15.11,2025-06-28,244.59
2023,164,93,14,2,19.38,2025-06-28,615.28
2024,56,88,12,3,29.19,2025-06-28,681.03
2025,111,80,12,4,1.67,2025-06-28,245.27
2026,21,25,16,4,17.22,2025-06-28,764.06
2027,141,87,15,1,25.89,2025-06-28,271.36
2028,9,92,13,3,14.44,2025-06-28,919.07
2029,139,47,11,1,2.36,2025-06-28,155.54
2030,70,80,17,1,16.82,2025-06-28,51.87
2031,129,56,15,4,9.96,2025-06-28,1661.53
2032,118,38,14,3,4.65,2025-06-28,152.61
2033,198,11,10,2,25.47,2025-06-28,22.64
2034,56,67,12,4,15.65,2025-06-28,252.24
2035,31,15,16,3,28.0,2025-06-28,205.2
2036,37,1,15,3,24.18,2025-06-28,433.08
2037,175,7,10,4,20.79,2025-06-28,106.93
2038,91,1,4,4,0.15,2025-06-28,760.46
2039,114,49,9,1,12.83,2025-06-28,240.26
2040,128,96,20,1,5.92,2025-06-28,234.66
2041,175,73,9,1,27.32,2025-06-28,5.62
2042,122,29,20,2,5.24,2025-06-28,565.24
2043,69,26,11,4,8.58,2025-06-28,1439.54
2044,186,87,11,3,15.51,2025-06-28,928.11
2045,36,45,7,4,7.9,2025-06-28,490.34
2046,32,93,10,3,6.3,2025-06-28,1072.65
2047,64,97,4,2,17.97,2025-06-28,432.71
2048,199,71,5,4,2.67,2025-06-28,1507.68
2049,170,12,5,3,1.75,2025-06-28,1429.86
2050,48,95,11,3,11.17,2025-06-28,1030.33
2051,81,32,9,1,21.62,2025-06-28,70.08
2052,158,20,16,2,16.64,2025-06-28,248.68
2053,149,51,9,4,12.69,2025-06-28,1693.6
2054,60,81,4,1,16.97,2025-06-28,358.89
2055,141,36,2,2,10.96,2025-06-28,721.51
2056,1,67,14,1,28.08,2025-06-28,53.77
2057,65,1,3,4,1.65,2025-06-28,749.03
2058,33,27,18,3,20.2,2025-06-28,248.59
2059,38,40,6,4,26.74,2025-06-28,653.13
2060,25,97,11,2,24.12,2025-06-28,400.27
2061,154,84,18,4,5.52,2025-06-28,137.79
2062,59,14,12,2,8.88,2025-06-28,200.66
2063,161,100,5,1,21.51,2025-06-28,45.85
2064,101,69,9,2,2.53,2025-06-28,81.68
2065,127,87,20,3,24.36,2025-06-28,830.89
2066,41,79,18,3,21.57,2025-06-28,429.26
2067,158,6,19,3,21.89,2025-06-28,192.67
2068,57,33,3,1,3.01,2025-06-28,36.08
2069,177,55,9,2,21.53,2025-06-28,472.33
2070,48,19,4,1,20.39,2025-06-28,174.19
2071,72,77,17,4,24.93,2025-06-28,1161.42
2072,177,29,17,4,1.25,2025-06-28,1178.09
2073,175,61,2,4,0.69,2025-06-28,784.15
2074,56,70,9,4,11.19,2025-06-28,1753.14
2075,65,79,9,3,4.46,2025-06-28,522.91
2076,12,80,5,2,16.75,2025-06-28,103.83
2077,69,24,15,3,27.52,2025-06-28,405.2
2078,134,23,15,2,11.74,2025-06-28,264.09
2079,89,10,3,2,25.35,2025-06-28,530.76
2080,193,54,19,1,0.01,2025-06-28,447.9
2081,25,41,3,4,5.06,2025-06-28,248.4
2082,1,49,6,2,0.91,2025-06-28,546.22
2083,160,17,4,4,9.84,2025-06-28,561.16
2084,131,56,13,4,27.25,2025-06-28,1342.47
2085,49,45,13,4,2.91,2025-06-28,516.91
2086,147,30,11,3,18.19,2025-06-28,68.7
2087,60,44,5,4,13.54,2025-06-28,1573.95
2088,157,74,1,2,28.15,2025-06-28,587.23
2089,178,55,9,3,3.68,2025-06-28,869.65
2090,2,19,17,4,6.36,2025-06-28,819.57
2091,73,29,1,1,0.89,2025-06-28,295.6
2092,184,2,3,4,13.02,2025-06-28,1654.71
2093,145,36,15,4,8.33,2025-06-28,1485.64
2094,188,19,10,3,26.1,2025-06-28,485.1
2095,110,7,8,2,18.15,2025-06-28,55.25
2096,164,26,12,4,18.42,2025-06-28,1284.59
2097,61,79,15,3,15.96,2025-06-28,459.97
2098,17,38,9,3,2.76,2025-06-28,155.63
2099,49,3,10,2,13.35,2025-06-28,636.6
2100,76,80,20,3,29.99,2025-06-28,130.97
2101,188,66,9,2,25.06,2025-06-28,410.12
2102,148,95,15,1,26.8,2025-06-28,283.01
2103,178,92,1,4,24.7,2025-06-28,1078.48
2104,131,71,2,3,3.09,2025-06-28,1125.88
2105,43,94,19,1,6.82,2025-06-28,263.54
2106,57,43,14,3,0.09,2025-06-28,66.0
2107,50,62,8,3,9.11,2025-06-28,379.88
2108,196,71,6,1,3.26,2025-06-28,374.64
2109,178,100,12,3,14.18,2025-06-28,150.38
2110,37,93,15,3,20.31,2025-06-28,912.27
2111,46,24,14,1,26.24,2025-06-28,137.45
2112,170,39,1,3,22.48,2025-06-28,799.31
2113,15,68,11,2,28.16,2025-06-28,577.72
2114,161,93,3,3,1.62,2025-06-28,1126.22
2115,80,44,19,4,0.37,2025-06-28,1813.7
2116,139,5,18,3,19.84,2025-06-28,197.75
2117,148,55,20,4,8.68,2025-06-28,1099.35
2118,24,93,2,4,7.61,2025-06-28,1410.2
2119,125,30,7,3,9.93,2025-06-28,75.63
2120,192,29,8,1,8.09,2025-06-28,274.12
2121,118,26,19,2,15.34,2025-06-28,666.55
2122,80,83,15,2,13.2,2025-06-28,293.02
2123,94,26,10,3,15.37,2025-06-28,999.46
2124,65,37,1,1,20.18,2025-06-28,124.34
2125,88,91,6,1,11.61,2025-06-28,56.75
2126,88,94,13,2,7.54,2025-06-28,523.01
2127,145,53,14,1,4.99,2025-06-28,446.59
2128,126,30,3,3,10.48,2025-06-28,75.17
2129,89,3,11,3,22.25,2025-06-28,856.82
2130,61,43,3,1,22.7,2025-06-28,17.02
2131,15,7,19,3,20.01,2025-06-28,80.99
2132,94,49,10,4,7.02,2025-06-28,1025.09
2133,51,73,15,2,17.64,2025-06-28,12.73
2134,27,41,11,3,17.12,2025-06-28,162.64
2135,74,77,15,1,14.53,2025-06-28,330.58
2136,61,79,13,2,16.5,2025-06-28,304.67
2137,186,54,5,3,14.75,2025-06-28,1145.61
2138,31,69,4,2,16.96,2025-06-28,69.59
2139,12,93,13,1,21.47,2025-06-28,299.66
2140,46,99,9,4,3.29,2025-06-28,68.01
2141,159,91,17,4,22.49,2025-06-28,199.05
2142,32,27,2,3,4.08,2025-06-28,298.81
2143,160,8,5,4,2.0,2025-06-28,1700.34
2144,181,32,16,3,29.28,2025-06-28,189.69
2145,61,84,7,2,28.71,2025-06-28,51.98
2146,46,64,1,3,1.81,2025-06-28,534.91
2147,85,10,12,3,13.3,2025-06-28,924.66
2148,80,13,11,3,5.59,2025-06-28,1181.24
2149,135,63,12,4,14.56,2025-06-28,1419.09
2150,4,93,19,3,24.91,2025-06-28,859.61
2151,52,35,12,1,28.52,2025-06-28,345.24
2152,159,61,12,3,19.03,2025-06-28,479.5
2153,112,54,14,2,10.62,2025-06-28,800.74
2154,36,8,2,1,18.1,2025-06-28,355.25
2155,182,29,2,2,9.36,2025-06-28,540.67
2156,54,95,4,2,27.29,2025-06-28,562.24
2157,119,41,20,2,26.11,2025-06-28,96.66
2158,127,30,16,1,16.75,2025-06-28,23.3
2159,17,86,10,1,9.74,2025-06-28,149.8
2160,75,21,13,4,8.8,2025-06-28,1123.11
2161,158,76,2,1,1.0,2025-06-28,362.2
2162,105,11,3,3,24.47,2025-06-28,34.42
2163,150,2,19,2,13.51,2025-06-28,822.69
2164,117,50,6,4,9.75,2025-06-28,348.36
2165,43,41,19,1,14.13,2025-06-28,56.17
2166,112,66,20,2,24.56,2025-06-28,412.85
2167,115,98,19,1,3.74,2025-06-28,208.53
2168,27,3,8,4,25.73,2025-06-28,1091.29
2169,37,80,14,1,26.93,2025-06-28,45.57
2170,46,51,10,1,28.4,2025-06-28,347.22
2171,113,68,3,2,11.92,2025-06-28,708.32
2172,35,87,6,3,6.51,2025-06-28,1026.97
2173,132,84,15,1,11.21,2025-06-28,32.37
2174,80,25,18,4,9.99,2025-06-28,830.79
2175,80,30,14,1,5.28,2025-06-28,26.51
2176,154,82,19,1,18.22,2025-06-28,256.4
2177,121,11,10,3,14.3,2025-06-28,39.05
2178,147,93,15,2,25.97,2025-06-28,564.98
2179,122,17,4,4,0.96,2025-06-28,616.42
2180,81,26,2,2,19.32,2025-06-28,635.21
2181,173,23,3,2,22.89,2025-06-28,230.73
2182,154,56,7,2,22.78,2025-06-28,712.48
2183,150,52,16,1,26.58,2025-06-28,285.38
2184,119,48,10,3,21.87,2025-06-28,615.11
2185,58,20,19,1,27.83,2025-06-28,107.65
2186,63,2,17,4,9.98,2025-06-28,1712.54
2187,156,88,19,3,15.1,2025-06-28,816.54
2188,193,31,5,2,0.42,2025-06-28,608.89
2189,172,27,20,3,0.21,2025-06-28,310.87
2190,100,2,13,4,7.2,2025-06-28,1765.43
2191,171,78,13,1,3.02,2025-06-28,40.39
2192,165,4,11,1,7.81,2025-06-28,277.81
2193,66,13,11,2,5.31,2025-06-28,789.83
2194,145,100,16,1,0.86,2025-06-28,57.91
2195,168,35,15,1,27.28,2025-06-28,351.23
2196,166,72,17,4,0.25,2025-06-28,412.41
2197,85,66,18,3,22.08,2025-06-28,639.64
2198,189,6,19,1,4.56,2025-06-28,78.47
2199,137,31,4,4,27.37,2025-06-28,888.21
2200,189,10,5,4,26.78,2025-06-28,1041.19
2201,144,21,7,2,19.62,2025-06-28,494.93
2202,123,74,2,4,20.17,2025-06-28,1304.9
2203,2,23,1,2,0.16,2025-06-28,298.74
2204,106,3,12,1,29.55,2025-06-28,258.79
2205,108,32,10,2,26.33,2025-06-28,131.74
2206,72,20,8,4,26.85,2025-06-28,436.44
2207,171,74,1,3,19.78,2025-06-28,983.46
2208,126,29,12,3,10.34,2025-06-28,802.23
2209,170,52,2,1,26.81,2025-06-28,284.48
2210,57,46,10,1,8.75,2025-06-28,303.82
2211,81,34,17,3,16.88,2025-06-28,1183.71
2212,195,84,3,2,2.99,2025-06-28,70.74
2213,158,61,7,1,27.66,2025-06-28,142.8
2214,141,72,12,4,4.22,2025-06-28,395.99
2215,19,71,8,1,6.75,2025-06-28,361.12
2216,7,70,20,2,16.74,2025-06-28,821.79
2217,137,11,12,1,22.92,2025-06-28,11.71
2218,54,82,3,4,18.58,2025-06-28,1021.1
2219,104,93,17,4,6.96,2025-06-28,1420.13
2220,86,89,9,4,0.03,2025-06-28,1776.15
2221,82,63,10,2,22.71,2025-06-28,641.86
2222,61,21,6,2,29.56,2025-06-28,433.73
2223,87,3,1,4,24.3,2025-06-28,1112.31
2224,2,82,12,4,13.81,2025-06-28,1080.93
2225,178,88,5,2,27.11,2025-06-28,467.36
2226,31,10,13,2,12.3,2025-06-28,623.55
2227,33,27,15,2,15.75,2025-06-28,174.97
2228,80,12,11,3,14.31,2025-06-28,1247.07
2229,11,7,8,2,13.43,2025-06-28,58.43
2230,161,17,5,4,23.26,2025-06-28,477.63
2231,128,65,2,3,15.8,2025-06-28,363.9
2232,135,64,12,2,9.5,2025-06-28,328.68
2233,128,26,2,4,7.74,2025-06-28,1452.76
2234,31,15,16,1,1.13,2025-06-28,93.93
2235,176,33,3,3,17.5,2025-06-28,92.07
2236,126,62,10,4,6.9,2025-06-28,518.83
2237,47,47,19,1,4.44,2025-06-28,152.23
2238,181,95,8,4,19.61,2025-06-28,1243.25
2239,107,35,7,2,20.44,2025-06-28,768.53
2240,19,65,1,2,22.56,2025-06-28,223.12
2241,81,72,12,1,15.11,2025-06-28,87.74
2242,123,76,5,2,26.82,2025-06-28,535.47
2243,134,83,16,4,28.09,2025-06-28,485.51
2244,107,25,4,1,24.22,2025-06-28,174.86
2245,49,57,17,4,19.07,2025-06-28,157.98
2246,73,32,2,4,9.11,2025-06-28,325.06
2247,50,63,12,4,29.49,2025-06-28,1171.11
2248,81,12,1,2,8.22,2025-06-28,890.47
2249,95,63,12,2,6.08,2025-06-28,779.97
2250,12,77,12,4,13.26,2025-06-28,1341.97
2251,23,92,12,3,1.71,2025-06-28,1055.81
2252,54,1,19,4,29.35,2025-06-28,538.07
2253,118,51,17,4,17.65,2025-06-28,1597.39
2254,197,70,20,1,16.71,2025-06-28,411.04
2255,59,8,11,4,19.67,2025-06-28,1393.76
2256,164,68,13,2,14.91,2025-06-28,684.28
2257,3,5,8,1,0.96,2025-06-28,81.44
2258,58,89,10,3,18.37,2025-06-28,1087.73
2259,183,86,8,1,21.49,2025-06-28,130.3
