sales_id,customer_id,product_id,store_id,quantity,discount,date,total_amount
1,63,38,12,3,29.24,2024-09-21,113.25
2,96,97,14,4,1.57,2025-03-02,1038.44
3,52,23,14,4,20.47,2024-09-22,475.94
4,96,63,2,4,14.04,2024-08-22,1427.73
5,132,15,5,3,17.38,2024-11-11,235.47
6,151,97,5,3,2.56,2025-02-14,770.99
7,143,25,6,2,1.29,2025-06-01,455.55
8,171,17,13,1,20.01,2024-10-16,124.46
9,29,97,9,4,24.7,2025-03-28,794.42
10,36,66,15,4,23.46,2024-11-15,837.75
11,13,78,14,1,16.31,2024-12-24,34.86
12,160,53,7,4,3.0,2024-11-02,1823.79
13,71,51,20,3,20.64,2024-10-19,1154.55
14,187,39,2,3,7.26,2024-12-29,956.24
15,86,51,7,4,27.33,2025-05-23,1409.62
16,28,70,6,3,25.15,2025-01-25,1108.18
17,66,6,17,3,21.28,2025-04-19,194.17
18,170,67,2,4,28.47,2024-08-15,213.9
19,45,7,3,2,0.94,2025-06-05,66.87
20,62,51,5,1,22.09,2025-06-05,377.82
21,185,72,5,3,9.91,2024-09-13,279.35
22,134,42,1,2,27.18,2024-11-15,364.26
23,28,64,8,3,8.0,2025-03-02,501.19
24,28,15,12,3,21.75,2024-08-02,223.01
25,108,29,4,1,26.33,2025-02-20,219.72
26,44,33,13,3,1.25,2024-08-09,110.21
27,84,94,15,1,11.93,2024-12-18,249.09
28,30,27,11,1,22.87,2024-11-04,80.09
29,190,36,10,1,13.65,2025-01-30,349.86
30,75,29,3,2,8.02,2025-01-02,548.66
31,128,38,14,4,6.59,2024-08-07,199.34
32,92,57,16,2,3.95,2025-06-13,93.74
33,190,97,10,4,25.71,2025-05-22,783.76
34,129,27,10,4,17.26,2025-02-22,343.67
35,121,55,12,1,2.29,2025-04-08,294.07
36,27,33,9,3,11.48,2024-07-27,98.79
37,190,68,1,1,11.03,2025-04-16,357.74
38,121,86,5,3,5.45,2024-10-03,470.77
39,116,66,20,4,13.07,2025-05-21,951.47
40,3,10,8,1,9.96,2025-01-28,320.09
41,103,5,11,3,10.25,2025-06-03,221.4
42,198,74,12,2,22.17,2025-04-03,636.1
43,200,97,1,3,6.7,2024-07-23,738.24
44,155,38,20,1,19.26,2024-09-24,43.07
45,137,13,11,2,17.12,2024-11-22,691.32
46,62,31,5,3,17.04,2025-01-30,760.9
47,165,47,15,3,19.89,2024-09-01,382.85
48,51,100,5,3,16.45,2025-01-01,146.4
49,172,88,12,3,26.38,2024-08-15,708.06
50,152,52,5,3,20.27,2024-10-03,929.71
51,59,56,17,2,16.41,2025-02-26,771.25
52,118,15,17,4,24.89,2024-08-13,285.42
53,160,29,12,2,18.18,2024-08-21,488.06
54,96,8,15,2,8.73,2025-01-12,791.79
55,180,5,15,2,6.21,2024-07-04,154.25
56,113,29,6,4,4.57,2025-03-03,1138.48
57,62,47,12,1,26.98,2025-05-28,116.32
58,186,68,20,4,21.3,2024-09-13,1265.78
59,52,76,18,2,28.12,2024-09-12,525.96
60,12,45,14,3,18.1,2024-12-31,327.03
61,39,2,2,3,14.2,2024-08-17,1224.19
62,130,27,9,2,1.79,2024-07-27,203.96
63,131,95,5,3,20.15,2025-03-17,926.17
64,113,36,20,2,17.47,2024-12-13,668.76
65,101,36,1,3,29.71,2024-12-10,854.36
66,113,26,3,4,7.17,2024-07-29,1461.74
67,184,43,6,1,15.92,2024-10-12,18.51
68,81,27,5,1,19.53,2025-06-12,83.56
69,187,69,5,4,19.34,2025-01-31,135.19
70,113,20,1,4,16.84,2024-12-23,496.17
71,2,11,17,2,23.31,2024-07-22,23.3
72,130,74,19,2,6.15,2025-03-08,767.04
73,54,38,14,2,21.77,2025-03-12,83.47
74,87,6,12,3,18.59,2024-09-21,200.81
75,129,72,10,2,26.88,2025-04-12,151.15
76,147,23,20,4,25.42,2025-02-13,446.32
77,126,47,18,1,9.45,2024-09-22,144.25
78,130,90,11,3,8.29,2024-10-18,656.87
79,53,46,2,2,29.45,2024-07-28,469.79
80,172,12,18,3,15.82,2024-07-05,1225.1
81,160,90,7,3,27.19,2025-05-19,521.5
82,198,13,15,2,4.92,2025-04-22,793.08
83,160,62,11,3,19.28,2024-12-09,337.38
84,68,82,18,1,24.3,2025-04-06,237.34
85,183,89,12,4,28.42,2024-09-21,1271.75
86,184,97,6,4,10.12,2024-08-13,948.23
87,123,60,20,1,21.75,2024-07-15,129.93
88,145,43,13,3,16.16,2025-04-29,55.38
89,38,76,20,2,1.82,2025-01-21,718.4
90,24,100,16,3,20.7,2024-10-07,138.96
91,69,68,18,1,20.7,2024-08-19,318.86
92,116,5,10,3,27.92,2024-11-07,177.81
93,98,37,8,4,14.92,2024-08-10,530.15
94,198,72,18,3,6.91,2025-04-26,288.65
95,139,92,1,1,1.34,2025-03-08,353.26
96,144,31,8,4,12.47,2024-10-28,1070.42
97,97,9,6,3,9.06,2024-09-18,825.42
98,124,51,5,3,22.83,2025-03-07,1122.68
99,187,29,15,4,10.63,2024-08-17,1066.18
100,70,78,15,2,28.47,2024-08-15,59.58
101,93,40,2,4,28.87,2024-10-27,634.14
102,3,41,1,2,18.63,2025-04-03,106.45
103,148,86,11,1,27.86,2024-09-30,119.73
104,187,11,10,1,22.83,2025-06-13,11.72
105,164,23,18,4,16.41,2024-08-08,500.24
106,147,1,18,4,5.41,2025-02-28,720.4
107,90,46,17,1,13.76,2024-11-02,287.14
108,195,21,8,2,16.83,2025-01-31,512.11
109,147,90,15,1,25.92,2025-01-12,176.87
110,148,36,8,4,14.44,2025-01-06,1386.62
111,96,54,17,1,26.93,2024-09-30,327.31
112,199,87,12,4,20.23,2024-10-11,1168.34
113,52,57,8,4,4.11,2024-08-19,187.18
114,161,1,14,1,29.85,2025-01-31,133.57
115,168,63,4,2,15.82,2025-02-24,699.08
116,128,54,1,3,11.76,2024-07-31,1185.79
117,39,55,1,1,19.77,2024-11-02,241.46
118,82,40,19,3,3.27,2025-03-13,646.78
119,104,15,16,1,19.1,2024-12-03,76.85
120,129,21,14,3,14.95,2025-02-10,785.53
121,11,47,16,2,12.2,2024-09-11,279.73
122,185,73,5,2,28.59,2024-11-14,11.04
123,178,53,9,1,15.68,2025-02-25,396.35
124,151,9,2,4,6.57,2024-11-21,1130.69
125,159,74,18,3,13.77,2025-04-21,1057.14
126,42,52,6,4,27.58,2025-06-24,1125.96
127,99,57,9,4,5.28,2024-08-18,184.89
128,7,26,1,4,6.42,2025-01-16,1473.55
129,144,41,9,2,0.39,2024-07-26,130.31
130,90,35,16,1,0.43,2024-08-08,480.91
131,112,63,13,1,24.88,2024-12-30,311.92
132,60,25,9,2,21.96,2025-02-23,360.15
133,113,90,13,2,10.65,2024-08-08,426.65
134,2,75,9,1,20.95,2024-07-31,280.54
135,129,38,11,4,11.86,2025-03-05,188.09
136,48,2,4,3,28.59,2024-07-18,1018.88
137,140,7,2,3,29.01,2025-05-01,71.88
138,197,82,6,3,11.78,2024-11-11,829.79
139,37,91,14,4,25.63,2025-06-19,190.98
140,160,34,4,1,23.19,2024-07-17,364.62
141,9,91,6,2,9.3,2025-06-08,116.46
142,99,17,19,1,6.96,2025-04-06,144.77
143,147,43,6,4,13.75,2024-11-26,75.97
144,48,59,2,2,23.44,2024-12-23,41.94
145,131,51,18,4,28.81,2025-02-14,1380.92
146,148,54,13,3,22.91,2025-04-14,1035.95
147,152,24,9,3,25.66,2025-04-07,415.6
148,54,25,19,4,18.09,2025-05-08,756.03
149,120,71,13,2,25.06,2025-01-13,580.43
150,161,52,11,2,23.53,2025-06-24,594.46
