order_id,customer_id,order_date,order_amount,order_status
1,1056,2025-06-14,231.87,Cancelled
2,1022,2025-06-15,487.39,Shipped
3,1066,2025-06-29,497.45,Delivered
4,1061,2025-05-31,340.53,Cancelled
5,1076,2025-06-06,322.63,Cancelled
6,1057,2025-06-04,492.49,Shipped
7,1068,2025-06-26,101.84,Cancelled
8,1011,2025-06-21,231.69,Cancelled
9,1019,2025-06-04,331.69,Placed
10,1038,2025-06-01,498.91,Placed
11,1018,2025-06-19,433.07,Delivered
12,1090,2025-06-09,135.69,Shipped
13,1058,2025-06-01,245.53,Shipped
14,1000,2025-06-14,217.29,Shipped
15,1042,2025-06-30,131.95,Cancelled
16,1044,2025-06-19,226.26,Placed
17,1022,2025-06-13,171.66,Placed
18,1021,2025-06-26,352.81,Delivered
19,1042,2025-06-03,240.92,Delivered
20,1050,2025-06-24,383.65,Delivered
21,1100,2025-06-19,408.0,Placed
22,1044,2025-06-11,412.78,Cancelled
23,1033,2025-06-13,177.43,Cancelled
24,1015,2025-06-14,253.47,Delivered
25,1096,2025-05-31,469.09,Shipped
26,1028,2025-06-18,135.89,Delivered
27,1062,2025-06-21,488.48,Placed
28,1005,2025-06-04,132.87,Shipped
29,1044,2025-06-24,156.79,Delivered
30,1000,2025-06-14,368.19,Cancelled
31,1098,2025-06-22,174.51,Shipped
32,1034,2025-06-11,250.54,Cancelled
33,1022,2025-06-08,355.18,Cancelled
34,1074,2025-06-19,408.57,Placed
35,1059,2025-06-18,495.04,Shipped
36,1011,2025-06-29,464.57,Cancelled
37,1086,2025-06-19,387.98,Placed
38,1056,2025-06-26,168.25,Delivered
39,1042,2025-06-21,73.76,Shipped
40,1084,2025-06-20,257.01,Cancelled
41,1087,2025-06-28,438.61,Delivered
42,1025,2025-06-25,471.11,Cancelled
43,1081,2025-06-26,411.95,Placed
44,1043,2025-06-15,133.54,Shipped
45,1100,2025-06-08,66.33,Cancelled
46,1001,2025-06-09,307.4,Delivered
47,1099,2025-06-20,302.1,Cancelled
48,1009,2025-06-07,216.47,Delivered
49,1066,2025-06-13,199.46,Shipped
50,1084,2025-06-26,259.36,Placed
51,1034,2025-06-04,432.28,Shipped
52,1013,2025-06-16,198.58,Delivered
53,1054,2025-06-11,68.62,Placed
54,1079,2025-06-11,392.03,Delivered
55,1056,2025-06-22,86.59,Cancelled
56,1041,2025-06-24,367.52,Delivered
57,1004,2025-06-02,215.12,Delivered
58,1018,2025-06-21,60.26,Delivered
59,1091,2025-06-11,373.78,Shipped
60,1038,2025-06-10,50.27,Cancelled
61,1061,2025-06-19,107.8,Shipped
62,1049,2025-06-17,72.94,Delivered
63,1030,2025-06-23,459.83,Cancelled
64,1025,2025-06-14,113.15,Delivered
65,1026,2025-06-09,173.96,Placed
66,1024,2025-06-23,62.82,Placed
67,1066,2025-06-01,247.41,Delivered
68,1038,2025-06-27,404.95,Shipped
69,1081,2025-06-02,421.33,Placed
70,1022,2025-06-28,432.96,Delivered
71,1059,2025-06-19,358.22,Shipped
72,1028,2025-06-15,210.94,Cancelled
73,1079,2025-06-03,360.21,Shipped
74,1077,2025-06-13,280.38,Delivered
75,1084,2025-06-23,450.04,Shipped
76,1039,2025-06-24,390.74,Cancelled
77,1006,2025-06-04,172.58,Cancelled
78,1070,2025-06-01,160.22,Shipped
79,1082,2025-06-12,439.55,Delivered
80,1001,2025-06-06,499.18,Delivered
81,1007,2025-06-24,200.36,Placed
82,1029,2025-06-09,171.5,Shipped
83,1083,2025-06-20,193.98,Delivered
84,1035,2025-06-02,115.36,Shipped
85,1060,2025-06-18,444.0,Cancelled
86,1001,2025-06-20,290.59,Delivered
87,1024,2025-06-22,364.51,Cancelled
88,1053,2025-06-30,303.31,Shipped
89,1046,2025-06-28,54.97,Shipped
90,1021,2025-06-30,159.43,Cancelled
91,1097,2025-06-19,302.93,Cancelled
92,1075,2025-06-28,347.44,Delivered
93,1097,2025-06-17,140.94,Cancelled
94,1011,2025-06-18,62.52,Placed
95,1046,2025-06-21,145.69,Delivered
96,1007,2025-06-11,344.0,Cancelled
97,1010,2025-06-15,401.3,Shipped
98,1059,2025-06-20,481.57,Delivered
99,1079,2025-06-24,227.66,Cancelled
100,1020,2025-06-14,431.95,Shipped
101,1053,2025-06-01,374.75,Shipped
